CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,Segment
12494.0,96,3,312.55,1,3,2,Hibernating
12500.0,67,4,1210.2,2,4,4,Loyal Customers
12501.0,136,1,2169.39,1,1,4,Hibernating
12502.0,18,3,1842.65,3,3,4,Loyal Customers
12506.0,33,1,73.5,3,1,1,Potential Loyalists
12507.0,99,1,446.16,1,1,2,Hibernating
12509.0,84,1,176.5,2,1,1,At Risk
12510.0,125,1,681.05,1,1,3,Hibernating
12514.0,67,1,1017.68,2,1,3,At Risk
12515.0,153,1,383.7,1,1,2,Hibernating
12520.0,5,3,1697.56,4,3,4,Champions
12523.0,53,4,500.19,2,4,3,Loyal Customers
12524.0,4,5,2833.38,4,4,4,Champions
12527.0,95,2,284.92,1,3,2,Hibernating
12528.0,76,2,771.66,2,3,3,Loyal Customers
12530.0,34,2,805.0,3,3,3,Loyal Customers
12539.0,62,3,4517.69,2,3,4,Loyal Customers
12540.0,19,5,4838.04,3,4,4,Loyal Customers
12541.0,81,1,312.4,2,1,2,At Risk
12545.0,59,1,628.15,2,1,3,At Risk
12547.0,80,1,159.4,2,1,1,At Risk
12551.0,157,1,168.0,1,1,1,Hibernating
12553.0,4,5,1734.62,4,4,4,Champions
12557.0,56,3,4854.62,2,3,4,Loyal Customers
12559.0,111,2,561.71,1,3,3,Loyal Customers
12561.0,102,1,238.85,1,1,1,Hibernating
12564.0,61,1,456.9,2,1,2,At Risk
12565.0,89,1,145.92,2,1,1,At Risk
12567.0,1,4,3884.32,4,4,4,Champions
12569.0,19,5,1164.32,3,4,4,Loyal Customers
12573.0,27,1,160.54000000000002,3,1,1,Potential Loyalists
12574.0,116,1,218.45,1,1,1,Hibernating
12576.0,18,2,421.65,3,3,2,Potential Loyalists
12577.0,159,1,195.89,1,1,1,Hibernating
12578.0,130,1,1608.66,1,1,4,Hibernating
12580.0,47,1,415.7,2,1,2,At Risk
12582.0,39,2,511.36,3,3,3,Loyal Customers
12583.0,1,5,3042.39,4,4,4,Champions
12584.0,80,1,463.63,2,1,2,At Risk
12585.0,34,2,2040.1,3,3,4,Loyal Customers
12590.0,11,2,9864.26,4,3,4,Champions
12591.0,117,1,452.84999999999997,1,1,2,Hibernating
12592.0,13,1,231.8,4,1,1,Potential Loyalists
12593.0,19,1,236.0,3,1,1,Potential Loyalists
12594.0,34,5,1177.54,3,4,4,Loyal Customers
12596.0,42,1,269.95,3,1,2,Potential Loyalists
12597.0,68,1,516.15,2,1,3,At Risk
12598.0,21,3,1285.74,3,3,4,Loyal Customers
12599.0,8,3,463.86,4,3,2,Champions
12600.0,4,6,1315.96,4,4,4,Champions
12601.0,4,4,508.96000000000004,4,4,3,Champions
12604.0,61,1,178.5,2,1,1,At Risk
12609.0,118,1,287.93,1,1,2,Hibernating
12613.0,62,2,821.66,2,3,3,Loyal Customers
12614.0,78,1,315.6,2,1,2,At Risk
12616.0,97,1,255.6,1,1,2,Hibernating
12619.0,34,2,631.66,3,3,3,Loyal Customers
12620.0,4,1,561.66,4,1,3,Potential Loyalists
12621.0,12,9,6860.72,4,4,4,Champions
12622.0,32,1,180.1,3,1,1,Potential Loyalists
12623.0,76,1,305.1,2,1,2,At Risk
12625.0,12,2,2683.82,4,3,4,Champions
12626.0,116,2,1274.1,1,3,4,Loyal Customers
12633.0,88,1,1012.82,2,1,3,At Risk
12637.0,39,4,2391.75,3,4,4,Loyal Customers
12639.0,38,1,486.1,3,1,3,Potential Loyalists
12643.0,20,3,1411.9199999999998,3,3,4,Loyal Customers
12645.0,19,2,798.9,3,3,3,Loyal Customers
12647.0,45,6,2009.06,3,4,4,Loyal Customers
12649.0,12,1,375.0,4,1,2,Potential Loyalists
12651.0,134,1,114.0,1,1,1,Hibernating
12652.0,131,1,919.98,1,1,3,Hibernating
12653.0,96,1,779.1,1,1,3,Hibernating
12654.0,95,1,166.6,1,1,1,Hibernating
12656.0,3,2,1659.6,4,3,4,Champions
12662.0,39,4,1344.4,3,4,4,Loyal Customers
12664.0,32,2,1303.5800000000002,3,3,4,Loyal Customers
12665.0,125,1,63.0,1,1,1,Hibernating
12668.0,59,3,2924.4700000000003,2,3,4,Loyal Customers
12669.0,49,2,2272.6,2,3,4,Loyal Customers
12670.0,33,1,633.05,3,1,3,Potential Loyalists
12672.0,130,1,225.89999999999998,1,1,1,Hibernating
12673.0,126,1,220.9,1,1,1,Hibernating
12674.0,8,1,586.74,4,1,3,Potential Loyalists
12676.0,60,2,707.4,2,3,3,Loyal Customers
12678.0,50,5,3951.84,2,4,4,Loyal Customers
12679.0,5,2,906.38,4,3,3,Champions
12681.0,10,11,7476.19,4,4,4,Champions
12682.0,1,10,4818.45,4,4,4,Champions
12683.0,11,9,4417.57,4,4,4,Champions
12684.0,7,2,519.1,4,3,3,Champions
12686.0,172,1,89.14,1,1,1,Hibernating
12690.0,6,1,389.01,4,1,2,Potential Loyalists
12691.0,118,3,406.2,1,3,2,Hibernating
12693.0,12,3,630.77,4,3,3,Champions
12695.0,10,1,89.25,4,1,1,Potential Loyalists
12700.0,15,1,1092.43,4,1,4,Potential Loyalists
12701.0,42,1,337.08,3,1,2,Potential Loyalists
12705.0,1,3,3164.1,4,3,4,Champions
12707.0,92,1,603.42,1,1,3,Hibernating
12708.0,1,5,1338.17,4,4,4,Champions
12709.0,17,7,3927.87,3,4,4,Loyal Customers
12710.0,1,1,718.96,4,1,3,Potential Loyalists
12712.0,13,7,2120.68,4,4,4,Champions
12714.0,7,2,1761.92,4,3,4,Champions
12717.0,46,1,609.74,3,1,3,Potential Loyalists
12720.0,20,8,2051.29,3,4,4,Loyal Customers
12721.0,46,3,1107.82,3,3,4,Loyal Customers
12724.0,132,1,154.9,1,1,1,Hibernating
12725.0,171,1,427.8,1,1,2,Hibernating
12726.0,14,4,1111.28,4,4,4,Champions
12727.0,81,4,2007.32,2,4,4,Loyal Customers
12728.0,57,3,617.31,2,3,3,Loyal Customers
12731.0,12,6,8230.09,4,4,4,Champions
12733.0,34,1,383.95,3,1,2,Potential Loyalists
12734.0,152,1,110.39999999999999,1,1,1,Hibernating
12735.0,115,2,779.5699999999999,1,3,3,Loyal Customers
12736.0,133,1,234.0,1,1,1,Hibernating
12738.0,172,1,155.35,1,1,1,Hibernating
12744.0,48,4,10262.65,2,4,4,Loyal Customers
12747.0,18,5,1763.05,3,4,4,Loyal Customers
12748.0,11,83,9267.43,4,4,4,Champions
12749.0,13,1,859.1,4,1,3,Potential Loyalists
12753.0,48,4,12940.51,2,4,4,Loyal Customers
12754.0,36,3,3010.74,3,3,4,Loyal Customers
12755.0,80,2,3811.95,2,3,4,Loyal Customers
12757.0,11,2,1160.5500000000002,4,3,4,Champions
12758.0,76,1,1570.19,2,1,4,At Risk
12759.0,76,1,444.8,2,1,2,At Risk
12763.0,169,1,320.08,1,1,2,Hibernating
12764.0,117,1,1693.88,1,1,4,Hibernating
12766.0,40,4,4015.71,3,4,4,Loyal Customers
12769.0,39,1,1143.6,3,1,4,Potential Loyalists
12770.0,11,1,1351.45,4,1,4,Potential Loyalists
12775.0,3,3,744.88,4,3,3,Champions
12778.0,59,3,408.06,2,3,2,At Risk
12779.0,49,5,2222.2,2,4,4,Loyal Customers
12781.0,85,1,549.26,2,1,3,At Risk
12782.0,53,3,1562.95,2,3,4,Loyal Customers
12785.0,164,1,311.95,1,1,2,Hibernating
12791.0,173,1,192.60000000000002,1,1,1,Hibernating
12792.0,56,1,400.53999999999996,2,1,2,At Risk
12793.0,134,2,545.48,1,3,3,Loyal Customers
12797.0,165,1,254.03,1,1,2,Hibernating
12808.0,169,1,129.4,1,1,1,Hibernating
12811.0,61,3,514.85,2,3,3,Loyal Customers
12817.0,81,1,166.04,2,1,1,At Risk
12818.0,61,1,1542.08,2,1,4,At Risk
12820.0,126,1,170.46,1,1,1,Hibernating
12821.0,14,1,92.72,4,1,1,Potential Loyalists
12823.0,55,3,994.5,2,3,3,Loyal Customers
12826.0,116,3,697.1,1,3,3,Loyal Customers
12829.0,136,2,293.0,1,3,2,Hibernating
12831.0,62,1,215.05,2,1,1,At Risk
12834.0,83,1,312.38,2,1,2,At Risk
12836.0,19,2,1661.4,3,3,4,Loyal Customers
12838.0,173,1,390.79,1,1,2,Hibernating
12839.0,88,3,1089.01,2,3,4,Loyal Customers
12840.0,14,2,1577.97,4,3,4,Champions
12841.0,22,12,1961.26,3,4,4,Loyal Customers
12842.0,108,1,310.73,1,1,2,Hibernating
12843.0,13,3,627.06,4,3,3,Champions
12845.0,67,4,354.09,2,4,2,At Risk
12849.0,68,1,704.5,2,1,3,At Risk
12852.0,95,1,311.55,1,1,2,Hibernating
12853.0,39,3,885.0,3,3,3,Loyal Customers
12854.0,41,2,810.37,3,3,3,Loyal Customers
12855.0,173,1,38.1,1,1,1,Hibernating
12857.0,11,2,1106.4,4,3,4,Champions
12866.0,83,1,559.12,2,1,3,At Risk
12867.0,14,4,1738.54,4,4,4,Champions
12868.0,18,5,1359.0,3,4,4,Loyal Customers
12871.0,7,1,132.0,4,1,1,Potential Loyalists
12872.0,126,2,599.97,1,3,3,Loyal Customers
12873.0,82,1,374.0,2,1,2,At Risk
12875.0,162,1,293.76000000000005,1,1,2,Hibernating
12877.0,1,7,682.0400000000001,4,4,3,Champions
12878.0,36,2,854.99,3,3,3,Loyal Customers
12881.0,75,1,298.0,2,1,2,At Risk
12886.0,19,1,775.0,3,1,3,Potential Loyalists
12888.0,14,2,354.12,4,3,2,Champions
12891.0,20,2,246.00000000000003,3,3,2,Potential Loyalists
12897.0,4,2,216.5,4,3,1,Champions
12901.0,12,9,4814.76,4,4,4,Champions
12902.0,64,1,138.68,2,1,1,At Risk
12908.0,112,1,318.0,1,1,2,Hibernating
12909.0,1,3,1528.37,4,3,4,Champions
12910.0,42,1,720.22,3,1,3,Potential Loyalists
12913.0,82,3,866.39,2,3,3,Loyal Customers
12915.0,172,1,199.65,1,1,1,Hibernating
12916.0,2,3,2312.78,4,3,4,Champions
12921.0,13,13,5514.4400000000005,4,4,4,Champions
12924.0,76,2,287.99,2,3,2,At Risk
12928.0,42,2,780.04,3,3,3,Loyal Customers
12929.0,111,1,117.85,1,1,1,Hibernating
12931.0,4,7,3920.7,4,4,4,Champions
12933.0,83,1,110.75,2,1,1,At Risk
12935.0,3,2,866.23,4,3,3,Champions
12937.0,67,1,217.43,2,1,1,At Risk
12939.0,73,3,7228.32,2,3,4,Loyal Customers
12942.0,166,1,258.75,1,1,2,Hibernating
12944.0,155,1,286.95,1,1,2,Hibernating
12945.0,88,1,462.95,2,1,2,At Risk
12947.0,35,3,1035.27,3,3,3,Loyal Customers
12948.0,15,3,886.26,4,3,3,Champions
12949.0,6,3,2250.7,4,3,4,Champions
12951.0,4,4,624.88,4,4,3,Champions
12955.0,4,3,697.42,4,3,3,Champions
12956.0,106,1,108.07,1,1,1,Hibernating
12957.0,4,3,1128.77,4,3,4,Champions
12963.0,166,1,365.8,1,1,2,Hibernating
12967.0,158,2,1660.9,1,3,4,Loyal Customers
12970.0,122,2,23.8,1,3,1,Hibernating
12971.0,1,37,4472.12,4,4,4,Champions
12976.0,12,1,738.6,4,1,3,Potential Loyalists
12980.0,10,6,4566.360000000001,4,4,4,Champions
12982.0,42,1,390.54,3,1,2,Potential Loyalists
12988.0,92,1,535.32,1,1,3,Hibernating
12989.0,38,5,2629.06,3,4,4,Loyal Customers
12990.0,110,1,97.5,1,1,1,Hibernating
12993.0,8,2,175.29999999999998,4,3,1,Champions
12994.0,69,1,352.6,2,1,2,At Risk
12997.0,36,2,608.47,3,3,3,Loyal Customers
12999.0,5,2,379.38,4,3,2,Champions
13000.0,60,2,458.53000000000003,2,3,2,At Risk
13001.0,18,9,7343.85,3,4,4,Loyal Customers
13002.0,118,1,120.94999999999999,1,1,1,Hibernating
13003.0,15,1,59.050000000000004,4,1,1,Potential Loyalists
13004.0,14,7,2448.02,4,4,4,Champions
13005.0,46,1,321.65,3,1,2,Potential Loyalists
13008.0,123,1,229.46999999999997,1,1,1,Hibernating
13011.0,172,1,50.550000000000004,1,1,1,Hibernating
13012.0,13,3,707.39,4,3,3,Champions
13013.0,12,4,2372.29,4,4,4,Champions
13014.0,20,3,1328.03,3,3,4,Loyal Customers
13015.0,46,3,979.37,3,3,3,Loyal Customers
13018.0,7,10,3307.09,4,4,4,Champions
13021.0,15,3,765.0,4,3,3,Champions
13026.0,20,2,243.71999999999997,3,3,2,Potential Loyalists
13027.0,34,3,3840.0,3,3,4,Loyal Customers
13029.0,153,1,382.5,1,1,2,Hibernating
13030.0,168,1,427.74,1,1,2,Hibernating
13033.0,157,1,190.55,1,1,1,Hibernating
13034.0,169,1,165.86,1,1,1,Hibernating
13035.0,61,1,333.0,2,1,2,At Risk
13037.0,19,2,577.32,3,3,3,Loyal Customers
13038.0,90,1,395.1,2,1,2,At Risk
13043.0,73,1,516.42,2,1,3,At Risk
13044.0,91,1,560.47,2,1,3,At Risk
13046.0,66,1,197.72,2,1,1,At Risk
13047.0,19,6,1671.68,3,4,4,Loyal Customers
13048.0,38,2,939.92,3,3,3,Loyal Customers
13049.0,118,1,153.78,1,1,1,Hibernating
13050.0,4,9,2873.96,4,4,4,Champions
13052.0,12,1,348.15000000000003,4,1,2,Potential Loyalists
13055.0,14,1,344.86,4,1,2,Potential Loyalists
13059.0,50,1,183.4,2,1,1,At Risk
13060.0,53,1,307.53,2,1,2,At Risk
13064.0,127,1,203.3,1,1,1,Hibernating
13065.0,173,1,205.86,1,1,1,Hibernating
13068.0,120,1,165.0,1,1,1,Hibernating
13069.0,12,12,2413.79,4,4,4,Champions
13072.0,67,1,177.15,2,1,1,At Risk
13077.0,90,3,577.44,2,3,3,Loyal Customers
13078.0,26,9,3980.46,3,4,4,Loyal Customers
13081.0,18,7,14463.51,3,4,4,Loyal Customers
13082.0,35,5,1960.18,3,4,4,Loyal Customers
13085.0,95,1,278.1,1,1,2,Hibernating
13089.0,7,49,27014.73,4,4,4,Champions
13090.0,39,7,3111.6,3,4,4,Loyal Customers
13092.0,12,4,439.75,4,4,2,Champions
13093.0,75,8,7832.47,2,4,4,Loyal Customers
13094.0,5,7,940.44,4,4,3,Champions
13097.0,33,5,3004.26,3,4,4,Loyal Customers
13098.0,13,7,6373.98,4,4,4,Champions
13101.0,34,1,101.19,3,1,1,Potential Loyalists
13102.0,20,13,3469.8199999999997,3,4,4,Loyal Customers
13104.0,67,2,213.72,2,3,1,At Risk
13107.0,133,1,566.84,1,1,3,Hibernating
13108.0,173,1,350.06,1,1,2,Hibernating
13110.0,57,3,732.49,2,3,3,Loyal Customers
13113.0,1,15,8063.66,4,4,4,Champions
13117.0,18,6,751.37,3,4,3,Loyal Customers
13118.0,8,3,799.7,4,3,3,Champions
13120.0,39,1,30.599999999999998,3,1,1,Potential Loyalists
13121.0,69,1,283.73,2,1,2,At Risk
13122.0,40,1,903.67,3,1,3,Potential Loyalists
13124.0,52,2,2574.12,2,3,4,Loyal Customers
13126.0,53,5,1077.42,2,4,4,Loyal Customers
13132.0,61,1,77.3,2,1,1,At Risk
13133.0,74,2,109.8,2,3,1,At Risk
13134.0,34,2,525.7,3,3,3,Loyal Customers
13136.0,12,1,574.46,4,1,3,Potential Loyalists
13137.0,52,2,863.84,2,3,3,Loyal Customers
13138.0,41,2,386.85,3,3,2,Potential Loyalists
13139.0,15,2,1170.02,4,3,4,Champions
13140.0,166,1,159.51,1,1,1,Hibernating
13141.0,14,4,1401.03,4,4,4,Champions
13144.0,132,1,110.95,1,1,1,Hibernating
13145.0,172,1,295.0,1,1,2,Hibernating
13148.0,33,6,1798.33,3,4,4,Loyal Customers
13149.0,89,1,376.74,2,1,2,At Risk
13151.0,95,1,1257.8700000000001,1,1,4,Hibernating
13155.0,126,2,569.2,1,3,3,Loyal Customers
13157.0,41,2,497.94,3,3,3,Loyal Customers
13158.0,119,1,256.40999999999997,1,1,2,Hibernating
13161.0,113,1,112.75,1,1,1,Hibernating
13162.0,33,2,1301.69,3,3,4,Loyal Customers
13165.0,151,1,354.64,1,1,2,Hibernating
13166.0,83,1,417.2,2,1,2,At Risk
13168.0,92,2,841.23,1,3,3,Loyal Customers
13169.0,52,1,505.2,2,1,3,At Risk
13171.0,99,1,140.35,1,1,1,Hibernating
13173.0,167,1,165.94,1,1,1,Hibernating
13174.0,116,2,2108.27,1,3,4,Loyal Customers
13178.0,4,5,2719.2,4,4,4,Champions
13183.0,8,3,1527.0800000000002,4,3,4,Champions
13184.0,27,4,746.31,3,4,3,Loyal Customers
13185.0,67,1,71.4,2,1,1,At Risk
13187.0,137,1,236.02,1,1,1,Hibernating
13192.0,5,1,464.32,4,1,3,Potential Loyalists
13196.0,62,1,512.13,2,1,3,At Risk
13198.0,50,3,2087.75,2,3,4,Loyal Customers
13199.0,18,14,3379.6800000000003,3,4,4,Loyal Customers
13203.0,42,1,165.71,3,1,1,Potential Loyalists
13208.0,6,3,700.21,4,3,3,Champions
13209.0,27,3,2362.44,3,3,4,Loyal Customers
13211.0,161,1,110.7,1,1,1,Hibernating
13216.0,67,1,333.74,2,1,2,At Risk
13220.0,19,2,559.69,3,3,3,Loyal Customers
13221.0,40,2,847.41,3,3,3,Loyal Customers
13223.0,32,1,100.80000000000001,3,1,1,Potential Loyalists
13225.0,70,3,3204.88,2,3,4,Loyal Customers
13226.0,73,1,108.21000000000001,2,1,1,At Risk
13227.0,1,1,257.7,4,1,2,Potential Loyalists
13229.0,25,1,160.95,3,1,1,Potential Loyalists
13230.0,1,9,1799.48,4,4,4,Champions
13232.0,8,2,431.69,4,3,2,Champions
13233.0,136,1,304.24,1,1,2,Hibernating
13235.0,12,1,1031.07,4,1,3,Potential Loyalists
13238.0,160,1,91.15,1,1,1,Hibernating
13239.0,62,1,329.56,2,1,2,At Risk
13240.0,57,2,442.41,2,3,2,At Risk
13242.0,13,2,104.0,4,3,1,Champions
13243.0,3,1,600.07,4,1,3,Potential Loyalists
13246.0,6,4,1648.52,4,4,4,Champions
13249.0,61,1,291.84000000000003,2,1,2,At Risk
13253.0,139,1,476.48,1,1,3,Hibernating
13255.0,173,1,225.7,1,1,1,Hibernating
13258.0,5,1,224.62,4,1,1,Potential Loyalists
13261.0,68,2,944.1,2,3,3,Loyal Customers
13262.0,63,1,200.29,2,1,1,At Risk
13263.0,5,13,3030.71,4,4,4,Champions
13265.0,45,2,1124.88,3,3,4,Loyal Customers
13266.0,4,5,1510.57,4,4,4,Champions
13267.0,32,8,1880.69,3,4,4,Loyal Customers
13268.0,19,4,1541.46,3,4,4,Loyal Customers
13269.0,18,5,2048.23,3,4,4,Loyal Customers
13270.0,166,1,590.0,1,1,3,Hibernating
13280.0,116,2,699.36,1,3,3,Loyal Customers
13282.0,20,1,344.70000000000005,3,1,2,Potential Loyalists
13284.0,131,1,201.19,1,1,1,Hibernating
13285.0,26,2,1173.27,3,3,4,Loyal Customers
13292.0,84,1,249.57,2,1,2,At Risk
13294.0,49,1,483.65,2,1,3,At Risk
13295.0,159,1,201.20000000000002,1,1,1,Hibernating
13299.0,68,1,142.5,2,1,1,At Risk
13301.0,22,2,327.77,3,3,2,Potential Loyalists
13304.0,151,1,300.42,1,1,2,Hibernating
13305.0,45,4,640.25,3,4,3,Loyal Customers
13308.0,3,1,814.95,4,1,3,Potential Loyalists
13309.0,6,2,546.64,4,3,3,Champions
13310.0,6,2,817.65,4,3,3,Champions
13313.0,15,2,609.74,4,3,3,Champions
13316.0,54,1,1622.48,2,1,4,At Risk
13317.0,39,3,682.6800000000001,3,3,3,Loyal Customers
13319.0,8,11,4527.84,4,4,4,Champions
13320.0,14,2,508.61,4,3,3,Champions
13324.0,3,7,3798.99,4,4,4,Champions
13327.0,59,4,1421.95,2,4,4,Loyal Customers
13328.0,116,1,1308.48,1,1,4,Hibernating
13329.0,167,1,304.2,1,1,2,Hibernating
13330.0,116,1,335.82,1,1,2,Hibernating
13334.0,105,1,1660.44,1,1,4,Hibernating
13339.0,1,1,860.12,4,1,3,Potential Loyalists
13340.0,76,1,3678.03,2,1,4,At Risk
13341.0,61,1,775.85,2,1,3,At Risk
13344.0,78,1,1656.15,2,1,4,At Risk
13345.0,88,1,389.5,2,1,2,At Risk
13357.0,57,1,609.95,2,1,3,At Risk
13358.0,68,1,439.03,2,1,2,At Risk
13362.0,46,2,1581.53,3,3,4,Loyal Customers
13365.0,17,1,700.6,3,1,3,Potential Loyalists
13368.0,57,2,623.4,2,3,3,Loyal Customers
13369.0,165,1,308.28000000000003,1,1,2,Hibernating
13370.0,172,1,754.87,1,1,3,Hibernating
13373.0,76,1,987.7,2,1,3,At Risk
13376.0,4,2,770.0,4,3,3,Champions
13381.0,7,2,1071.35,4,3,4,Champions
13382.0,81,1,222.99,2,1,1,At Risk
13385.0,130,1,534.57,1,1,3,Hibernating
13389.0,32,1,257.89,3,1,2,Potential Loyalists
13391.0,3,1,59.8,4,1,1,Potential Loyalists
13394.0,14,3,935.33,4,3,3,Champions
13396.0,119,1,387.27000000000004,1,1,2,Hibernating
13397.0,94,2,601.77,1,3,3,Loyal Customers
13402.0,172,1,308.28000000000003,1,1,2,Hibernating
13404.0,12,1,217.81,4,1,1,Potential Loyalists
13405.0,4,2,557.45,4,3,3,Champions
13408.0,8,25,11107.11,4,4,4,Champions
13410.0,63,2,404.64,2,3,2,At Risk
13414.0,96,1,390.0,1,1,2,Hibernating
13417.0,5,1,236.0,4,1,1,Potential Loyalists
13418.0,4,9,3340.6,4,4,4,Champions
13421.0,90,1,825.04,2,1,3,At Risk
13425.0,95,1,401.57,1,1,2,Hibernating
13426.0,38,4,1285.02,3,4,4,Loyal Customers
13427.0,15,1,214.5,4,1,1,Potential Loyalists
13439.0,55,1,283.71,2,1,2,At Risk
13448.0,18,4,1423.26,3,4,4,Loyal Customers
13450.0,4,2,678.54,4,3,3,Champions
13451.0,11,3,1652.3799999999999,4,3,4,Champions
13452.0,59,2,590.0,2,3,3,Loyal Customers
13453.0,90,1,185.0,2,1,1,At Risk
13455.0,166,1,692.94,1,1,3,Hibernating
13456.0,7,1,207.66,4,1,1,Potential Loyalists
13458.0,14,6,5629.62,4,4,4,Champions
13462.0,52,1,151.5,2,1,1,At Risk
13468.0,1,21,3591.12,4,4,4,Champions
13473.0,133,1,241.26,1,1,1,Hibernating
13474.0,36,1,229.59,3,1,1,Potential Loyalists
13475.0,17,3,1278.48,3,3,4,Loyal Customers
13476.0,81,1,727.6,2,1,3,At Risk
13477.0,11,2,516.03,4,3,3,Champions
13479.0,1,2,300.95,4,3,2,Champions
13481.0,57,1,665.28,2,1,3,At Risk
13482.0,32,1,184.64,3,1,1,Potential Loyalists
13484.0,41,1,313.8,3,1,2,Potential Loyalists
13485.0,33,1,454.24,3,1,2,Potential Loyalists
13487.0,13,2,408.8,4,3,2,Champions
13488.0,6,5,5037.16,4,4,4,Champions
13489.0,89,2,235.68,2,3,1,At Risk
13491.0,47,8,1031.63,2,4,3,Loyal Customers
13492.0,15,1,315.3,4,1,2,Potential Loyalists
13493.0,75,2,618.63,2,3,3,Loyal Customers
13494.0,111,1,316.26000000000005,1,1,2,Hibernating
13495.0,32,3,1072.43,3,3,4,Loyal Customers
13496.0,160,1,501.01,1,1,3,Hibernating
13497.0,83,2,348.05,2,3,2,At Risk
13499.0,25,2,463.79,3,3,2,Potential Loyalists
13501.0,88,1,1340.32,2,1,4,At Risk
13502.0,75,2,189.16,2,3,1,At Risk
13505.0,32,1,1009.69,3,1,3,Potential Loyalists
13506.0,116,2,458.52,1,3,2,Hibernating
13508.0,43,1,110.97,3,1,1,Potential Loyalists
13509.0,54,3,650.02,2,3,3,Loyal Customers
13512.0,61,1,251.21,2,1,2,At Risk
13515.0,48,1,203.4,2,1,1,At Risk
13516.0,38,1,146.0,3,1,1,Potential Loyalists
13520.0,59,3,1479.3,2,3,4,Loyal Customers
13523.0,166,1,566.95,1,1,3,Hibernating
13524.0,19,1,159.20000000000002,3,1,1,Potential Loyalists
13525.0,48,1,282.88,2,1,2,At Risk
13527.0,1,2,585.64,4,3,3,Champions
13529.0,4,1,181.1,4,1,1,Potential Loyalists
